timestamp,value,datetime
1780632000,1.896e-05,2026-06-05 04:00:00+00:00
1780635600,-1.176e-05,2026-06-05 05:00:00+00:00
1780639200,-3.272e-05,2026-06-05 06:00:00+00:00
1780642800,-3.169e-05,2026-06-05 07:00:00+00:00
1780646400,-5.005e-05,2026-06-05 08:00:00+00:00
1780650000,-5.548e-05,2026-06-05 09:00:00+00:00
1780653600,-3.944e-05,2026-06-05 10:00:00+00:00
1780657200,-3.721e-05,2026-06-05 11:00:00+00:00
1780660800,-4.205e-05,2026-06-05 12:00:00+00:00
1780664400,-3.719e-05,2026-06-05 13:00:00+00:00
