open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-05-30 10:00:00,33.387,33.863,33.232,33.421,139406.09,2025-05-30 10:59:59.999,4673670.25192,15332,67987.59,2280649.4248900,0
2025-05-30 11:00:00,33.427,33.492,32.584,32.987,192499.31,2025-05-30 11:59:59.999,6341189.33065,16605,97923.06,3225235.8882600,0
2025-05-30 12:00:00,32.988,33.573,32.634,33.379,316007.87,2025-05-30 12:59:59.999,10475515.41778,27866,151430.60,5019483.1004700,0
2025-05-30 13:00:00,33.38,33.673,32.365,32.378,257858.77,2025-05-30 13:59:59.999,8495876.61097,30072,128190.45,4223581.7955500,0
2025-05-30 14:00:00,32.378,32.609,31.369,31.789,327790.06,2025-05-30 14:59:59.999,10443919.19916,34774,160799.92,5122153.7192100,0
2025-05-30 15:00:00,31.788,32.785,31.695,32.514,312790.55,2025-05-30 15:59:59.999,10122358.05139,37988,187054.99,6049355.0635200,0
2025-05-30 16:00:00,32.518,32.84,31.713,32.4,471241.93,2025-05-30 16:59:59.999,15224761.8163,48551,248314.14,8028552.0942900,0
2025-05-30 17:00:00,32.408,33.213,32.248,33.099,329543.46,2025-05-30 17:59:59.999,10818971.87612,40271,159268.12,5235096.3889900,0
2025-05-30 18:00:00,33.098,34.212,33.057,34.201,367784.58,2025-05-30 18:59:59.999,12399787.47364,50898,204723.45,6901971.3876600,0
2025-05-30 19:00:00,34.202,34.348,33.363,33.386,337166.67,2025-05-30 19:59:59.999,11466982.39985,42177,156003.65,5306875.0941700,0
2025-05-30 20:00:00,33.386,33.817,33.115,33.13,226862.05,2025-05-30 20:59:59.999,7586913.98877,29721,111697.87,3738200.8641000,0
2025-05-30 21:00:00,33.13,33.782,33.018,33.538,157924.23,2025-05-30 21:59:59.999,5281203.29871,20089,95346.34,3189537.0958900,0
2025-05-30 22:00:00,33.542,33.661,32.127,32.289,218774.03,2025-05-30 22:59:59.999,7216493.71231,29941,95622.02,3154396.1943900,0
